subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,14,18,9.532020833333334,9.47225,18.0,-0.05977083333333333,34.57385402592111,-59.77083333333333,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,19,10.049270833333333,9.974958333333333,19.0,-0.07431249999999956,51.54657018807445,-74.31249999999956,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,20,10.566520833333334,10.450520833333334,20.0,-0.11599999999999966,46.04651443970903,-115.99999999999966,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,21,11.084916666666667,11.006895833333333,21.0,-0.07802083333333343,53.93642434503782,-78.02083333333343,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,22,11.601020833333333,11.51675,22.0,-0.08427083333333307,39.984167380134394,-84.27083333333307,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,23,12.118270833333334,12.022041666666667,23.0,-0.09622916666666725,51.47521485857158,-96.22916666666725,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,24,12.635520833333333,12.527916666666666,24.0,-0.1076041666666665,36.44240696388627,-107.6041666666665,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,25,13.152770833333333,13.083833333333333,25.0,-0.06893750000000054,50.580099822649245,-68.93750000000054,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,26,13.670020833333334,13.569958333333334,26.0,-0.10006249999999994,37.23254487167293,-100.06249999999994,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,27,14.187270833333333,14.130104166666667,27.0,-0.05716666666666548,51.04602507614207,-57.16666666666548,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,28,14.704520833333333,14.6210625,28.0,-0.08345833333333275,39.53635950366341,-83.45833333333275,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,29,15.221770833333334,15.144520833333333,29.0,-0.07725000000000115,49.98960482456114,-77.25000000000115,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,30,15.739020833333333,15.7304375,30.0,-0.008583333333332277,39.872014631780466,-8.583333333332277,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,31,16.256270833333332,16.213541666666668,31.0,-0.04272916666666404,51.43315113790095,-42.72916666666404,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,32,16.773520833333333,16.6753125,32.0,-0.09820833333333212,43.17355362222584,-98.20833333333212,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,33,17.290770833333333,17.2426875,33.0,-0.048083333333334366,51.87554785844743,-48.083333333334366,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,34,17.808020833333334,17.7696875,34.0,-0.038333333333333997,39.25699119061021,-38.333333333334,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,35,18.325270833333335,18.292395833333334,35.0,-0.032875000000000654,52.70888757469939,-32.875000000000654,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,36,18.84252083333333,18.793875,36.0,-0.04864583333333172,34.3600486183888,-48.64583333333172,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,37,19.359770833333332,19.320958333333333,37.0,-0.038812499999998806,47.79265248490682,-38.812499999998806,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,38,19.877020833333333,19.829604166666666,38.0,-0.047416666666666885,29.757256429612955,-47.416666666666885,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,39,20.394270833333334,20.309291666666667,39.0,-0.08497916666666683,52.1773809661085,-84.97916666666683,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,40,20.911520833333334,20.867104166666667,40.0,-0.04441666666666677,26.346752550241774,-44.41666666666677,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,41,21.428770833333335,21.386,41.0,-0.042770833333335645,51.595971134419145,-42.770833333335645,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,42,21.946020833333332,21.955354166666666,42.0,0.009333333333334082,36.28504513640567,9.333333333334082,False,0.0,spontaneous,3,116.0,0,True
